,Hourly AC System Output (W),Hourly Plane of Array Irradiance (W/m2),Hourly Beam irradiance (W/m^2),Hourly Diffuse Irradiance (W/m2),Hourly Ambient Temperature (C),Hourly DC Array output (Wdc),Hourly Cell Temperature (C),Hourly Wind Speed (m/s)
1977,1166.656,317.167,113.0,236.0,2.0,1215.799,10.437,1.0
1978,1666.156,482.033,317.0,293.0,4.0,1731.644,23.404,0.0
1979,1601.139,471.546,344.0,338.0,5.0,1664.354,25.258,0.0
1980,1479.173,466.828,864.0,156.0,6.0,1538.243,25.965,0.0
1981,894.4,303.866,852.0,157.0,7.0,935.705,17.014,1.0
1982,369.065,125.421,844.0,140.0,8.0,397.352,11.324,1.0
1983,321.004,90.014,805.0,122.0,8.0,348.238,9.12,1.0
1984,266.876,75.322,710.0,104.0,7.0,292.951,7.901,0.0
1985,220.603,62.639,506.0,80.0,6.0,245.711,5.931,0.0
1986,58.223,20.025,122.0,26.0,4.0,80.1,1.357,0.0
1987,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
1988,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
1989,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
1990,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
1991,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1992,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1993,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1994,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1995,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1999,247.154,68.439,12.0,62.0,2.0,272.814,1.78,3.0
2000,47.176,17.31,0.0,21.0,4.0,68.844,2.706,3.0
2001,91.605,28.962,0.0,35.0,6.0,114.125,4.877,3.0
2002,1041.594,285.645,50.0,286.0,7.0,1087.044,12.291,3.0
2003,760.799,207.573,12.0,243.0,6.0,798.531,10.077,3.0
2004,1147.597,317.082,74.0,372.0,6.0,1196.168,12.552,3.0
2005,1023.686,285.071,84.0,369.0,6.0,1068.62,12.068,3.0
2006,247.916,69.967,0.0,84.0,6.0,273.592,6.662,3.0
2007,486.016,132.758,1.0,168.0,6.0,516.963,7.622,3.0
2008,30.659,13.196,0.0,16.0,6.0,52.014,4.81,3.0
2009,130.48,38.866,0.0,47.0,5.0,153.762,3.947,2.0
2010,0.0,4.919,0.0,6.0,4.0,19.619,2.06,2.0
2011,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0
2012,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
2013,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
2014,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
2015,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0
2016,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0
2017,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0
2018,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2019,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2021,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2022,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2023,1000.511,268.006,200.0,83.0,1.0,1044.781,5.787,3.0
2024,377.418,102.804,0.0,116.0,3.0,405.891,4.42,3.0
2025,365.686,100.403,0.0,119.0,5.0,393.899,5.901,3.0
2026,667.454,181.948,8.0,209.0,6.0,702.797,9.34,2.0
2027,843.643,232.986,18.0,270.0,7.0,883.57,13.209,1.0
2028,744.392,206.62,12.0,249.0,8.0,781.698,13.617,1.0
2029,988.234,279.358,72.0,363.0,8.0,1032.156,15.847,1.0
2030,779.0,227.901,243.0,338.0,9.0,817.208,18.615,0.0
2031,591.658,166.381,285.0,263.0,9.0,625.124,15.71,0.0
2032,377.441,106.019,0.0,134.0,8.0,405.915,11.484,0.0
2033,188.617,54.622,0.0,67.0,7.0,213.068,7.226,0.0
2034,61.495,21.035,51.0,26.0,6.0,83.435,3.336,0.0
2035,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0
2036,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0
2037,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0
2038,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0
2039,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0
2040,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2041,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2042,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2043,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2044,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2045,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2046,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0
2047,8.625,7.389,0.0,9.0,3.0,29.569,1.248,3.0
2048,66.136,22.274,0.0,27.0,5.0,88.165,3.829,4.0
2049,207.751,59.771,0.0,72.0,8.0,232.593,7.777,5.0
2050,710.439,195.252,11.0,222.0,9.0,746.872,11.521,5.0
2051,1550.64,438.128,232.0,371.0,10.0,1612.12,17.523,5.0
2052,371.941,104.5,0.0,126.0,10.0,400.292,11.373,5.0
2053,694.757,192.761,11.0,239.0,10.0,730.79,12.907,4.0
2054,288.166,81.517,0.0,98.0,9.0,314.693,9.607,4.0
2055,121.705,37.31,0.0,45.0,9.0,144.814,8.371,4.0
2056,42.91,16.504,0.0,20.0,8.0,64.497,6.796,4.0
2057,36.447,14.813,0.0,18.0,8.0,57.912,6.712,4.0
2058,0.0,1.637,0.0,2.0,7.0,6.435,5.402,4.0
2059,0.0,0.0,0.0,0.0,7.0,0.0,7.0,5.0
2060,0.0,0.0,0.0,0.0,7.0,0.0,7.0,4.0
2061,0.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0
2062,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0
2063,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0
2064,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0
2065,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0
2066,0.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0
2067,0.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0
2068,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0
2069,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0
2070,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0
2071,0.0,2.46,0.0,3.0,5.0,9.755,3.368,4.0
2072,8.432,7.41,0.0,9.0,5.0,29.372,3.485,4.0
2073,273.988,76.579,0.0,92.0,6.0,300.214,6.067,5.0
2074,129.507,39.033,0.0,47.0,7.0,152.771,6.45,5.0
2075,190.441,54.983,0.0,66.0,7.0,214.929,6.738,6.0
2076,352.264,98.018,0.0,118.0,8.0,380.181,8.529,6.0
2077,642.526,176.914,9.0,218.0,9.0,677.245,10.807,7.0
2078,709.778,195.245,17.0,253.0,9.0,746.194,11.188,7.0
2079,606.259,167.534,17.0,219.0,10.0,640.083,11.962,6.0
2080,245.193,70.348,0.0,85.0,10.0,270.812,10.248,5.0
2081,229.601,66.142,503.0,85.0,10.0,254.895,10.004,4.0
2082,68.389,23.158,171.0,30.0,8.0,90.462,6.897,3.0
2083,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0
2084,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2085,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0
2086,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0
2087,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0
2088,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
2089,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
2090,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2091,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2094,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
2095,641.646,172.302,98.0,78.0,2.0,676.343,4.682,2.0
2096,562.358,152.437,25.0,146.0,4.0,595.114,6.773,2.0
2097,973.3,266.495,55.0,239.0,6.0,1016.799,11.886,2.0
2098,2390.523,704.295,852.0,127.0,8.0,2484.295,26.016,2.0
2099,2048.329,620.356,889.0,132.0,11.0,2128.057,28.147,2.0
2100,1545.012,485.676,902.0,134.0,13.0,1606.3,26.305,2.0
2101,924.755,320.227,917.0,122.0,14.0,966.897,21.332,3.0
2102,494.761,165.775,643.0,214.0,15.0,525.913,18.181,3.0
2103,468.385,134.381,486.0,216.0,16.0,498.922,18.336,2.0
2104,278.216,81.064,608.0,115.0,15.0,304.531,15.74,2.0
2105,273.426,78.992,80.0,107.0,13.0,299.64,13.575,1.0
2106,60.746,21.315,1.0,26.0,10.0,82.672,8.537,1.0
2107,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0
2108,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0
2109,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0
2110,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0
2111,0.0,0.0,0.0,0.0,7.0,0.0,7.0,3.0
2112,0.0,0.0,0.0,0.0,7.0,0.0,7.0,3.0
2113,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0
2114,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0
2115,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0
2116,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0
2117,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2118,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2119,537.384,147.457,69.0,76.0,7.0,569.542,8.638,4.0
2120,1629.993,457.755,361.0,142.0,9.0,1694.211,17.872,4.0
2121,1961.298,566.778,463.0,200.0,12.0,2037.65,23.906,4.0
2122,1829.585,539.245,396.0,288.0,16.0,1900.977,27.491,4.0
2123,1975.099,602.585,795.0,169.0,19.0,2051.98,30.361,5.0
2124,1510.613,477.351,811.0,171.0,20.0,1570.737,29.044,5.0
2125,900.531,315.05,854.0,142.0,21.0,942.004,26.065,6.0
2126,362.624,140.917,844.0,131.0,21.0,390.77,22.784,6.0
2127,287.505,85.444,805.0,117.0,20.0,314.018,20.56,6.0
2128,239.823,71.766,717.0,100.0,19.0,265.329,19.26,5.0
2129,191.226,58.002,546.0,75.0,18.0,215.729,17.947,4.0
2130,65.322,23.182,185.0,30.0,16.0,87.336,15.105,4.0
2131,0.0,0.0,0.0,0.0,15.0,0.0,15.0,4.0
2132,0.0,0.0,0.0,0.0,14.0,0.0,14.0,5.0
2133,0.0,0.0,0.0,0.0,14.0,0.0,14.0,5.0
2134,0.0,0.0,0.0,0.0,14.0,0.0,14.0,5.0
2135,0.0,0.0,0.0,0.0,14.0,0.0,14.0,5.0
2136,0.0,0.0,0.0,0.0,14.0,0.0,14.0,5.0
2137,0.0,0.0,0.0,0.0,13.0,0.0,13.0,4.0
2138,0.0,0.0,0.0,0.0,13.0,0.0,13.0,4.0
2139,0.0,0.0,0.0,0.0,13.0,0.0,13.0,4.0
2140,0.0,0.0,0.0,0.0,13.0,0.0,13.0,4.0
2141,0.0,0.0,0.0,0.0,12.0,0.0,12.0,4.0
2142,0.0,0.0,0.0,0.0,12.0,0.0,12.0,4.0
2143,889.47,247.766,188.0,76.0,11.0,930.64,14.473,5.0
2144,330.721,93.651,0.0,108.0,11.0,358.166,11.733,6.0
2145,2581.637,748.827,847.0,97.0,12.0,2683.788,24.096,6.0
2146,2439.259,716.302,889.0,111.0,13.0,2535.131,25.387,6.0
2147,1941.744,567.775,595.0,262.0,14.0,2017.348,22.809,7.0
2148,1529.233,455.975,523.0,308.0,15.0,1589.986,21.863,7.0
2149,960.32,326.032,901.0,126.0,15.0,1003.455,19.248,8.0
2150,817.983,232.18,65.0,333.0,14.0,857.222,16.99,7.0
2151,275.427,79.836,841.0,108.0,14.0,301.683,14.434,7.0
2152,246.486,71.601,773.0,90.0,13.0,272.131,13.141,6.0
2153,170.023,50.749,637.0,65.0,12.0,194.096,11.723,5.0
2154,66.761,22.93,309.0,28.0,10.0,88.802,8.878,3.0
2155,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0
2156,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
2157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2163,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0
2164,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0
2165,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0
2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2167,1785.23,495.264,522.0,62.0,3.0,1854.992,14.662,2.0
2168,2387.486,692.217,738.0,87.0,6.0,2481.127,24.523,2.0
2169,2529.372,756.571,848.0,100.0,10.0,2629.193,30.658,2.0
2170,2345.49,727.73,906.0,107.0,13.0,2437.343,36.853,1.0
2171,2036.026,636.776,927.0,115.0,14.0,2115.271,35.059,1.0
2172,1550.929,498.588,932.0,119.0,15.0,1612.419,31.56,1.0
2173,936.192,330.054,927.0,116.0,16.0,978.651,26.799,1.0
2174,384.502,151.791,899.0,114.0,17.0,413.132,21.356,1.0
2175,267.629,78.544,851.0,106.0,16.0,293.72,16.75,2.0
2176,290.704,84.419,682.0,119.0,15.0,317.285,15.634,2.0
2177,236.126,68.852,509.0,89.0,13.0,261.555,13.251,1.0
2178,82.324,26.881,161.0,35.0,9.0,104.664,7.647,1.0
2179,0.0,0.0,0.0,0.0,8.0,0.0,8.0,2.0
2180,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0
2181,0.0,0.0,0.0,0.0,6.0,0.0,6.0,2.0
2182,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0
2183,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2184,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2185,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2186,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2187,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2188,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2189,0.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0
2190,0.0,0.818,0.0,1.0,8.0,3.201,6.421,4.0
2191,35.94,14.809,0.0,18.0,10.0,57.395,8.701,4.0
2192,691.939,192.874,42.0,160.0,12.0,727.9,14.428,5.0
2193,75.192,25.662,0.0,31.0,14.0,97.395,13.456,5.0
2194,417.482,119.053,0.0,142.0,15.0,446.854,15.933,6.0
2195,1797.933,526.79,423.0,328.0,17.0,1868.159,24.541,7.0
2196,899.089,257.718,23.0,308.0,18.0,940.523,21.334,8.0
2197,309.924,91.286,0.0,110.0,19.0,336.918,19.634,8.0
2198,242.621,72.521,0.0,87.0,19.0,268.186,19.204,8.0
2199,534.167,153.323,8.0,197.0,18.0,566.249,19.493,7.0
2200,206.457,62.235,0.0,75.0,18.0,231.273,18.136,6.0
2201,285.552,83.693,58.0,111.0,17.0,312.024,17.424,5.0
2202,58.813,21.423,0.0,26.0,16.0,80.702,15.122,4.0
2203,0.0,0.0,0.0,0.0,16.0,0.0,16.0,3.0
2204,0.0,0.0,0.0,0.0,15.0,0.0,15.0,2.0
2205,0.0,0.0,0.0,0.0,13.0,0.0,13.0,2.0
2206,0.0,0.0,0.0,0.0,11.0,0.0,11.0,2.0
2207,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0
2208,0.0,0.0,0.0,0.0,9.0,0.0,9.0,2.0
2209,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0
2210,0.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0
2211,0.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0
2212,0.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0
2213,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
2214,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
2215,24.254,11.509,0.0,14.0,8.0,45.489,4.172,0.0
2216,1023.053,288.391,125.0,174.0,9.0,1067.969,18.355,0.0
2217,983.07,279.406,61.0,247.0,12.0,1026.845,20.231,1.0
2218,318.881,92.709,0.0,111.0,15.0,346.069,17.148,1.0
2219,1038.628,301.833,39.0,335.0,17.0,1083.992,24.938,1.0
2220,1307.056,389.054,167.0,415.0,18.0,1360.536,27.653,2.0
2221,397.063,115.163,0.0,140.0,17.0,425.975,19.156,3.0
2222,374.387,107.321,0.0,131.0,15.0,402.792,15.948,5.0
2223,312.414,89.053,0.0,108.0,12.0,339.462,12.476,6.0
2224,32.906,14.03,0.0,17.0,10.0,54.304,9.005,5.0
2225,4.743,6.575,0.0,8.0,9.0,25.614,7.534,4.0
2226,89.66,28.721,144.0,37.0,8.0,112.142,7.002,4.0
2227,0.0,0.0,0.0,0.0,7.0,0.0,7.0,3.0
2228,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0
2229,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0
2230,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
2231,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
